Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x99e7398d644117b2cf8479570face75acc3afacd39ea8dcdc4799be3ef6101e0","Success","Swap ETH","23365193","2025-09-15 01:26:23","0x0e02ea7d2be27012c6a712c84662943a88ab1871","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.000708138 ETH","$3.05","0.00006186"
"0xf5a65a417496cfd599b36e270f907266dca3b8915b244ff3f13c1ad5b02fce35","Success","Swap ETH","23362507","2025-09-14 16:26:59","0x0aa155bb2623316b19580620f1408984523e4037","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.265203197 ETH","$1,142.66","0.00049952"
"0xf0bdc699f1a782581f3ccc947132c8d112b94bd3678139b3442efeb552d94c7c","Success","Swap ETH","23356791","2025-09-13 21:19:35","0x653e924923e6c30320a92ec34e465c907f2c8d35","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.000231877 ETH","$1.00","0.00043044"
"0x3f6d1e1afe2fa6965f11b76b93d2350e1293a479512996c386243a4c06832b92","Success","Swap ETH","23355483","2025-09-13 16:56:35","0x995ea575a242080e7e7aa23c0e25a7bb8c34ed37","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.795203995 ETH","$3,426.23","0.00051691"
"0x7fafd1df02ffdf0e42754f58b29affba36ad135feaa155fd7a42a3220f0162f7","Success","Swap ETH","23354779","2025-09-13 14:35:11","0xbecf4c29a0264f85981cf5bf420c2b5ecbbfbc15","bucube.eth","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","1.162236418 ETH","$5,007.64","0.00018461"
"0x8756c83d1da0180aec2c794b749d598726d1794566deb25a44fc3e9ed638b7cc","Success","Swap ETH","23354378","2025-09-13 13:14:23","0x7627a586776d3ccab0e0805bdda546aa90e3b81a","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","11.560203156 ETH","$49,808.55","0.00009222"
"0xb06637b2482abe50162f21b2709793918e61bf0db0cf83084ba848edd0359288","Success","Swap ETH","23354291","2025-09-13 12:56:59","0x2dd9c09a1b2fa93f2e1c47a9275a63e8733d8753","wbing.eth","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","1.162236418 ETH","$5,007.64","0.00008509"
"0x300cb2a84271868bc9286d383bef44217812b00a87b9136a0a61f211ed6df862","Success","Swap ETH","23353962","2025-09-13 11:51:11","0x52d96971bf7f77f278cdbe14e82ef553ee725812","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","1.251490795 ETH","$5,392.20","0.00045144"
"0xd335ddee32e3e37b04e1fcc7ea48210005cbb5834475844a3d00037d26dda3a8","Success","Swap ETH","23353942","2025-09-13 11:47:11","0x52d96971bf7f77f278cdbe14e82ef553ee725812","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","2.000203158 ETH","$8,618.12","0.00044057"
"0x702d1d682cabbce16c393c593255018fcf03c51d31f0cf22a7a4d551b222a5a6","Success","Swap ETH","23353923","2025-09-13 11:43:11","0x52d96971bf7f77f278cdbe14e82ef553ee725812","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","2.000203158 ETH","$8,618.12","0.00045254"
